ID,Text,Comment
Tool.Keystone.Fauna.DisplayName,Fauna: Place Deer (smoke test),
Tool.Keystone.Fauna.Description,"Spawns a KeystoneDeer BlockObject at the cursor. End-to-end smoke test of the custom-mesh pipeline for fauna assets: Quaternius .blend -> Blender shade-smooth + VAT palette bake -> .timbermesh -> KeystoneDeer material -> rendered in-game. Hardcoded blueprint, no biome resolution. Replaced or generalised once proper fauna content infrastructure (Class E / agent system) lands.",
Tool.Keystone.FishSmokeTest.DisplayName,Fish: Place KeystoneFish1 above water (smoke test),
Tool.Keystone.FishSmokeTest.Description,"Spawns a KeystoneFish1 static prop at the cursor and starts looping its Default animation clip. Gated on water depth: click a dry tile and nothing spawns; click a water tile and a fish appears just above the water surface, swimming in place. No agent, no pathfinding, no despawn — pure visual verification of the fish mesh + Default clip. Reload to clear accumulated fish.",
Tool.Keystone.Stump.DisplayName,Dev: Place Birch Stump,
Tool.Keystone.Stump.Description,"Places a mature Birch, kills it, and removes its yield — leaving a harvested stump. Used to test stump-replacement logic in Class B/D spawn handlers.",
Tool.Keystone.DeadTree.DisplayName,Dev: Place Dead Pine + Ivy,
Tool.Keystone.DeadTree.Description,"Force-places the KeystoneDeadPine1 flourish — a vanilla dead-pine trunk wrapped in the Keystone PineIvy mesh — at the clicked tile, bypassing biome/score gates. Smoke test for the dead-tree + fitted-ivy composition.",
Tool.Keystone.Overgrowth.DisplayName,Dev: Toggle Tree Overgrowth,
Tool.Keystone.Overgrowth.Description,"Click a tree (Pine for now) to toggle overgrowth: drapes placeholder flourishes around the trunk base, click again to clear. Validates the overgrowth augmentation mechanism before the biome driver exists. The tree itself is untouched.",
Tool.Keystone.PlantCrops.DisplayName,Plant Mixed Crops,Player-facing planting brush in the field/crop menu.
Tool.Keystone.PlantCrops.Description,"Drag to mark an area for planting. Each tile is sown with a weighted-random pick from the crop types below — raise a type's weight to plant more of it, drop it to zero to leave it out — an easy way to lay out a varied field instead of one crop at a time. Crops are still planted by your farmers through the normal planting queue.",
Tool.Keystone.PlantCrops.PanelTitle,Crop mix,Header of the mixed-crop options panel.
Tool.Keystone.PlantForest.DisplayName,Plant Mixed Forest,Player-facing planting brush in the forester tree/bush menu.
Tool.Keystone.PlantForest.Description,"Drag to mark an area for planting. Each tile is sown with a weighted-random pick from the tree and bush types below — raise a type's weight to plant more of it, drop it to zero to leave it out — a quick way to grow a natural, mixed woodland. Everything is still planted by your foresters through the normal planting queue.",
Tool.Keystone.PlantForest.PanelTitle,Forester mix,Header of the mixed-forest options panel.
Tool.Keystone.Planting.SelectAll,Select all,"Button that sets every species in the mixed-planting panel to weight 1 (an even mix)."
Tool.Keystone.Planting.ClearAll,Clear all,Button that sets every species in the mixed-planting panel to weight 0 (none planted).
Tool.Keystone.Planting.Clearings,Clearings,"Row in the mix that weights how much bare ground the brush leaves: raise it for more open space, 0 for a fully-planted area."
Tool.Keystone.Planting.Overwrite,Overwrite existing plants,"When on, the brush also marks tiles that already hold a plant or tree (never buildings or paths); the new planting fills in once that tile is cleared. Off by default, matching the vanilla planting tool, which skips occupied tiles."
Tool.Keystone.Planting.DestroyExisting,Destroy existing plants,"When on, any plant or tree on a brushed tile is destroyed — removed, not harvested for resources — so the new planting can take its place. Off by default: leave it off to queue plantings without killing what's already growing. Has no effect unless Overwrite is on."
Tool.Keystone.Logging.DisplayName,Cutting Planner,Player-facing cutting-planner brush in the forester tree-cutting menu.
Tool.Keystone.Logging.Description,"Drag over an area to mark its trees for cutting — set the percentage below to choose how many: 100% clear-cuts the selected tree types, less thins them, marking roughly that fraction at random and leaving the rest standing. Re-drag the same area to roll a different mix. Trees are still felled by your foresters through the normal cutting queue.",
Tool.Keystone.Logging.PanelTitle,Cutting Planner,Header of the cutting-planner options panel.
Tool.Keystone.Logging.Percent,Cut percentage,"Slider for the share of eligible trees the brush marks for cutting; the live percentage shows to the right of the slider."
Tool.Keystone.Logging.OverrideExisting,Override existing marks,"When on (the default), each drag first clears any cutting marks on the selected tree types in the area before re-marking, so the area is set to the chosen percentage rather than piling marks up across drags. Turn off to only add marks."
Tool.Keystone.Logging.Species,Tree types,Header above the per-species toggles in the logging panel.
Tool.Keystone.Logging.SelectAll,Select all,Button that includes every tree type in the logging selection.
Tool.Keystone.Logging.ClearAll,Clear all,Button that excludes every tree type from the logging selection.
Keystone.Settings.Flora.Header,Flora,Header above the flora section of the Keystone settings panel.
Keystone.Settings.Flora.ClassBDensity,Decorative plants,Class B flourish density slider label.
Keystone.Settings.Flora.ClassBDensity.Tooltip,"How many small plants — flowers, ferns, cattails, and the like — appear in each biome.

0% removes them entirely.
100% is the default amount.
200% doubles the amount.

These plants are most of what makes Keystone visible on the map — at 0% the ecology still runs, but you won't see much of it.

Lower this if your computer struggles on foliage-heavy maps.",
Keystone.Settings.Flora.TreeDensity,Trees,Class D Trees density slider label.
Keystone.Settings.Flora.TreeDensity.Tooltip,"How many wild trees (birch, maple, oak, chestnut, mangrove) appear as part of each biome.

0% removes them entirely.
100% is the default amount.
200% doubles the amount.

Lower this if your map feels too crowded with trees, or if you want more building space.",
Keystone.Settings.Flora.BushDensity,Bushes,Class D Bushes density slider label.
Keystone.Settings.Flora.BushDensity.Tooltip,"How many wild bushes (blueberry, dandelion) appear as part of each biome.

Bushes are planted by the forester and persist after harvest.

0% removes them entirely.
100% is the default amount.
200% doubles the amount.",
Keystone.Settings.Flora.CropDensity,Crops,Class D Crops density slider label.
Keystone.Settings.Flora.CropDensity.Tooltip,"How many wild aquatic crops (cattail, spadderdock) appear as part of each biome.

Crops are planted by the farmer and harvested as the whole plant.

0% removes them entirely.
100% is the default amount.
200% doubles the amount.",
Keystone.Settings.Flora.NewGameWarmup,New game ecosystem maturity (days),Warmup slider label.
Keystone.Settings.Flora.NewGameWarmup.Tooltip,"NEW GAMES ONLY — this setting has no effect on loaded saves.

Simulates this many days of ecosystem development when starting a new settlement.

0 = start from scratch — biomes build up from nothing over the first few game-days.
3 = the default — basic biomes are established and visible from the start.
7 = mature ecosystem — higher-level biomes are well underway from day one.",
Keystone.Settings.Flora.GrowthBonus,Max biome growth bonus,Growth bonus slider label.
Keystone.Settings.Flora.GrowthBonus.Tooltip,"Maximum growth-speed bonus for plants in a healthy biome. Trees grow faster in forests, water plants in wetlands.

0% disables the bonus entirely.
30% is the default (up to 30% faster growth at full biome health).
100% allows up to double growth speed.",
Keystone.Settings.Fauna.Header,Fauna,Header above the fauna section of the Keystone settings panel.
Keystone.Settings.Fauna.EnableFauna,Enable wildlife,Master fauna toggle label.
Keystone.Settings.Fauna.EnableFauna.Tooltip,"Master switch for all wildlife — deer, cattle, and fish.

Turning this off removes any currently-spawned animals and stops new ones from appearing.

The sliders below have no effect when this is off.",
Keystone.Settings.Fauna.DeerAbundance,Deer abundance,Per-species deer slider label.
Keystone.Settings.Fauna.DeerAbundance.Tooltip,"How many deer appear in suitable areas.

0% removes deer entirely.
100% is the default amount.
200% doubles the population.",
Keystone.Settings.Fauna.CattleAbundance,Cattle abundance (cows + bulls),Per-species cattle slider label.
Keystone.Settings.Fauna.CattleAbundance.Tooltip,"How many cows and bulls appear in suitable areas.

0% removes them entirely.
100% is the default amount.
200% doubles the population.",
Keystone.Settings.Fauna.FishAbundance,Fish abundance,Per-species fish slider label.
Keystone.Settings.Fauna.FishAbundance.Tooltip,"How many fish appear in suitable water.

0% removes fish entirely.
100% is the default amount.
200% doubles the population.",
Keystone.Settings.Effects.Header,Effects,Header above the atmospheric-effects section of the Keystone settings panel.
Keystone.Settings.Effects.FoggyMorningFrequency,Foggy mornings,Foggy-morning frequency dropdown label.
Keystone.Settings.Effects.FoggyMorningFrequency.Tooltip,"How often a misty morning rolls in over wetland areas.

Off — no foggy mornings ever.
Rare — roughly once a week.
Sometimes — about one in four mornings (the default).
Often — about half of all mornings.
Always — every morning.

Only affects wetlands.",
Keystone.Settings.Effects.FoggyMorningFrequency.Off,Off,Dropdown option: no foggy mornings.
Keystone.Settings.Effects.FoggyMorningFrequency.Rare,Rare,Dropdown option: foggy mornings roughly once a week.
Keystone.Settings.Effects.FoggyMorningFrequency.Sometimes,Sometimes,Dropdown option: foggy mornings about one in four days.
Keystone.Settings.Effects.FoggyMorningFrequency.Often,Often,Dropdown option: foggy mornings about half of all mornings.
Keystone.Settings.Effects.FoggyMorningFrequency.Always,Always,Dropdown option: foggy morning every day.
Keystone.Settings.Performance.Header,Performance,Header above the performance-tuning section of the Keystone settings panel.
Keystone.Settings.Performance.MapUpdateHours,Map update frequency (every N hours),Map-update cadence slider label.
Keystone.Settings.Performance.MapUpdateHours.Tooltip,"How often Keystone re-checks the state of the map (moisture, water, contamination) and updates which biomes are present where.

1 = every in-game hour (the default; biomes react most quickly to player changes).
4 = once every four hours (lighter on the CPU on large maps; biomes react more slowly).

Has no effect on wildlife — use the Fauna sliders to tune that.

Only changeable from the main menu.",
Keystone.Settings.Performance.RulesUpdateDays,Flora/decor update frequency (every N days),Rules-applier cadence slider label.
Keystone.Settings.Performance.RulesUpdateDays.Tooltip,"How often Keystone re-evaluates which flourishes, decorations, and attrition rules should fire on each tile.

1 = once per in-game day (the default; flora and decor appear and are reclaimed most quickly).
4 = once every four in-game days (lightest on the CPU on large maps; flora and decor change more slowly).

This is the biggest CPU lever on saturated maps — most of the per-tile work is in spawning new objects, and slowing the cycle cuts it proportionally.

Only changeable from the main menu.",
Keystone.Settings.BaseGame.Header,Base Game,Header above the base-game-tweaks section of the Keystone settings panel.
Keystone.Settings.BaseGame.WildReproduction,Wild plant reproduction rate,Vanilla natural-reproduction throttle slider label.
Keystone.Settings.BaseGame.WildReproduction.Tooltip,"How fast wild plants and trees spread to nearby tiles on their own — as a share of the base game's normal rate.

100% is the normal rate.
5% is the default — wild spread is slowed to a trickle.
0% stops wild spread entirely.

Keystone already fills each biome with its own plants and trees, so the base game's slow creep is mostly redundant — the low default lets Keystone drive what grows where, instead of two systems competing.

This is a slow-down only; it can't make wild plants spread faster than the base game.

Only changeable from the main menu.",
Keystone.GrowthBonus.Growing.SuitableConditions,"<GreenHighlight>{0} growth bonus from suitable {1} conditions.</GreenHighlight>",Suitability high but maturity low.
Keystone.GrowthBonus.Growing.NearbyEstablished,"<GreenHighlight>{0} growth bonus from a nearby established {1}.</GreenHighlight>",Maturity high but suitability low.
Keystone.GrowthBonus.Growing.Maturing,"<GreenHighlight>{0} growth bonus from a maturing {1}.</GreenHighlight>",Both suitability and maturity contributing.
Keystone.GrowthBonus.Growing.Thriving,"<GreenHighlight>{0} growth bonus from a thriving {1}.</GreenHighlight>",Both suitability and maturity high.
Keystone.GrowthBonus.WouldGrow,"<YellowHighlight>Would grow faster in a healthy {0} biome.</YellowHighlight>",Growth bonus hint when bonus is zero.
Keystone.GrowthBonus.HealthyBiome,"<GreenHighlight>Part of a healthy {0}.</GreenHighlight>",Brief status on a mature plant in a healthy biome.
Keystone.GrowthBonus.MonocultureWarning,"<YellowHighlight>Add species diversity to increase growth bonus.</YellowHighlight>",Monoculture suppression warning on a growing plant.
Keystone.GrowthBonus.MonocultureBrief,"<YellowHighlight>This area lacks species diversity.</YellowHighlight>",Monoculture brief on a mature plant.
Keystone.GrowthBonus.RiverWarning,"<YellowHighlight>Water flow is too strong for a wetland to develop here.</YellowHighlight>",River suppression warning on a growing aquatic plant.
Keystone.GrowthBonus.RiverBrief,"<YellowHighlight>Water flow is too strong for a wetland here.</YellowHighlight>",River brief on a mature aquatic plant.
Keystone.BiomeOverlay.Show,Show biome overlay,Tooltip when the biome overlay toggle is off.
Keystone.BiomeOverlay.Hide,Hide biome overlay,Tooltip when the biome overlay toggle is on.
Keystone.Settings.UI.Header,UI,Header above the UI section of the Keystone settings panel.
Keystone.Settings.UI.BiomeOverlayOpacity,Biome overlay opacity (%),Biome overlay opacity slider label.
Keystone.Settings.UI.BiomeOverlayOpacity.Tooltip,"How opaque the biome overlay boxes appear when the overlay is active. 25% lets the terrain show through clearly, 100% is fully opaque. Default 75%.",Tooltip for the biome overlay opacity slider.
Keystone.Settings.UI.TilledSoilTexture,Lighter tilled-soil texture,Toggle label: use Keystone's lighter tilled-soil texture on planting-marked tiles.
Keystone.Settings.UI.TilledSoilTexture.Tooltip,"When on, tiles marked for planting use Keystone's lighter tilled-soil texture instead of the dark vanilla one. Takes effect immediately. Off by default.",Tooltip for the tilled-soil texture toggle.
